,codigo,anunciante,oferta,tipo,area_util,bairro,cidade,preco,valor_m2,quartos,vagas,latitude,longitude,cluster
44999,407970,Fort Imobi Soluções Imobiliárias,Aluguel,Apartamento,170,ASA NORTE,BRASILIA,7200,42,3.0,,-157786492,-478801143,8
45011,658380,Mário Lúcio Netimóveis,Aluguel,Apartamento,76,ASA NORTE,BRASILIA,1900,25,3.0,,-157515671,-478970147,6
45043,LO1414,Elizeu Imóveis,Aluguel,Apartamento,30,ASA NORTE,BRASILIA,2200,73,1.0,,-157635286,-47881707,2
45076,1419417,Emibra Imóveis,Aluguel,Apartamento,33,ASA NORTE,BRASILIA,1300,39,1.0,,-157437537,-478977743,1
45090,1033429,Tabakal Imóveis,Aluguel,Apartamento,127,ASA NORTE,BRASILIA,5790,45,3.0,1.0,-15738022,-478951014,8
45216,AP3433,Coemi Imóveis,Aluguel,Apartamento,35,ASA NORTE,BRASILIA,1400,40,1.0,,-15744649,-47898186,1
45362,AP0000512,Aldeia Imóveis,Aluguel,Apartamento,131,ASA NORTE,BRASILIA,6200,47,4.0,1.0,-157759821,-478859895,3
45365,AD0003,Attivus Negócios Imobiliários,Aluguel,Apartamento,80,ASA NORTE,BRASILIA,3900,48,1.0,1.0,-157787113,-478865091,3
45383,00501,Plano Imobiliária,Aluguel,Apartamento,45,ASA NORTE,BRASILIA,1500,33,1.0,,-157437537,-478977743,4
45462,AP0027A,Cláudio Werneck Imóveis,Aluguel,Apartamento,125,ASA NORTE,BRASILIA,5500,44,3.0,,-157753678,-478823271,8
